iter	Logloss
0	0.6588439646
1	0.6275628559
2	0.6001435142
3	0.5723083657
4	0.5498000647
5	0.5261499648
6	0.5084534538
7	0.4925816424
8	0.4770210831
9	0.4643961692
10	0.4497075138
11	0.4362365276
12	0.4261292653
13	0.4169364491
14	0.4096014571
15	0.400354792
16	0.3932178302
17	0.3861608519
18	0.3807489271
19	0.3760798163
20	0.3709216174
21	0.3657074695
22	0.3619094022
23	0.3583183364
24	0.3543534576
25	0.3507201221
26	0.3465070942
27	0.3433268703
28	0.3401302759
29	0.337738689
30	0.3353738696
31	0.332875009
32	0.3309306528
33	0.3288705818
34	0.3272453143
35	0.3255268843
36	0.3241891053
37	0.3226898074
38	0.3211677799
39	0.3189410001
40	0.3176586735
41	0.3158376349
42	0.3143074663
43	0.3129893607
44	0.3117477821
45	0.3105295417
46	0.3097148305
47	0.3085782525
48	0.3079375257
49	0.3069279013
50	0.3062222515
51	0.3055525678
52	0.3050010133
53	0.303983872
54	0.3033517403
55	0.3027383259
56	0.3022271667
57	0.3013459264
58	0.3007809337
59	0.300350596
60	0.2999557429
61	0.2993677383
62	0.2987429531
63	0.2983558646
64	0.2979239669
65	0.2973067133
66	0.2967914946
67	0.2963725625
68	0.2960461326
69	0.2956071952
70	0.2951255528
71	0.2948099959
72	0.2945352275
73	0.2941857366
74	0.2938036289
75	0.2933495682
76	0.2929665304
77	0.2927127902
78	0.2925034304
79	0.2921190913
80	0.2918969036
81	0.2916966157
82	0.2915484731
83	0.2913408092
84	0.2910170533
85	0.2908055144
86	0.2906403759
87	0.2903285136
88	0.2899794792
89	0.2898162814
90	0.289632862
91	0.2894043931
92	0.2892209504
93	0.2890242493
94	0.2887677517
95	0.2884677007
96	0.2882776069
97	0.2879948127
98	0.2877221753
99	0.2874785636
100	0.2873464365
101	0.287131979
102	0.2869488023
103	0.2867947245
104	0.286631957
105	0.2863758192
106	0.2862238806
107	0.2860914434
108	0.2858714631
109	0.2857218374
110	0.2855843243
111	0.2854173458
112	0.2852165501
113	0.2850465584
114	0.2848955271
115	0.2847300786
116	0.284534534
117	0.2843831071
118	0.2842426113
119	0.2841516904
120	0.283983279
121	0.2838120526
122	0.2836364035
123	0.2835222774
124	0.2834180527
125	0.2832782072
126	0.2831802993
127	0.2829698841
128	0.2828755839
129	0.2827558019
130	0.2826085233
131	0.2824854523
132	0.2823585023
133	0.2822188615
134	0.2820771551
135	0.2819436873
136	0.2817918025
137	0.2815734345
138	0.2814111338
139	0.2812842501
140	0.2812008744
141	0.2810820271
142	0.2809084523
143	0.2808056002
144	0.2806696099
145	0.2805968751
146	0.2804973713
147	0.2803721582
148	0.2802660637
149	0.2801788686
150	0.2800699465
151	0.2799824729
152	0.2797780923
153	0.2796458306
154	0.2795471759
155	0.2793791798
156	0.2792951005
157	0.279222504
158	0.2791495327
159	0.2790589785
160	0.278938025
161	0.2788797407
162	0.2787934992
163	0.2786173939
164	0.2785015428
165	0.2783033726
166	0.2781849784
167	0.2780705591
168	0.2779833182
169	0.2779314987
170	0.277833352
171	0.2777253823
172	0.2776105606
173	0.2775041264
174	0.2773972044
175	0.2773366808
176	0.2772750262
177	0.2771405839
178	0.2770298309
179	0.2769188247
180	0.2768270052
181	0.2766997385
182	0.2766225418
183	0.2765440709
184	0.2764282623
185	0.2763246104
186	0.2762368738
187	0.2760566633
188	0.2760115152
189	0.2759293016
190	0.2758633341
191	0.2756725896
192	0.2755503584
193	0.2754863398
194	0.2753415824
195	0.2752458451
196	0.2751451844
197	0.2750598786
198	0.2749992926
199	0.2749212794
200	0.2747671112
201	0.2746081894
202	0.2745128854
203	0.2743942529
204	0.2743256196
205	0.2742424295
206	0.2741971285
207	0.2740707719
208	0.2740223008
209	0.2738880978
210	0.273812871
211	0.273715251
212	0.2735899334
213	0.2735289482
214	0.2734299623
215	0.2733728893
216	0.2732541756
217	0.2731688189
218	0.2731001765
219	0.2730040847
220	0.2728795137
221	0.2727806289
222	0.272696333
223	0.2725874305
224	0.2725490672
225	0.2724634845
226	0.2723328118
227	0.2721599881
228	0.2720214503
229	0.271928186
230	0.2717704152
231	0.2716740697
232	0.2715949897
233	0.2714754728
234	0.2714125585
235	0.2713234767
236	0.2711740699
237	0.2711012856
238	0.2710529891
239	0.2710178728
240	0.2709595145
241	0.2708438343
242	0.2707341125
243	0.2706346133
244	0.2705752598
245	0.2705134015
246	0.2703691598
247	0.2703317693
248	0.2702653202
249	0.2702079384
250	0.2701351177
251	0.27008844
252	0.2699568691
253	0.2698720256
254	0.2697779992
255	0.2697073961
256	0.2696400885
257	0.2696001047
258	0.2695084677
259	0.2694586321
260	0.2693670958
261	0.2693104639
262	0.2692391186
263	0.2691189318
264	0.2690823369
265	0.2690228473
266	0.2689530688
267	0.2689258335
268	0.2688085962
269	0.2687604856
270	0.2686673572
271	0.2685908241
272	0.2685035383
273	0.2684196978
274	0.2683606078
275	0.2682798841
276	0.2681676892
277	0.2680598915
278	0.2679800082
279	0.2679263869
280	0.2678634735
281	0.2677832239
282	0.2676592285
283	0.2676008094
284	0.2675532463
285	0.2675133648
286	0.2674291806
287	0.2673439625
288	0.2673198261
289	0.267256408
290	0.2671922919
291	0.2671152681
292	0.2670032366
293	0.2669455277
294	0.2668744665
295	0.2668215468
296	0.2667444233
297	0.2666442229
298	0.2665707417
299	0.266506163
300	0.2664190224
301	0.2663430349
302	0.2662653549
303	0.2662074106
304	0.2661564884
305	0.2660573752
306	0.2660177264
307	0.2659658425
308	0.2659326405
309	0.2658922167
310	0.2657823884
311	0.2657574995
312	0.2657088964
313	0.2656392186
314	0.2655356492
315	0.2654473934
316	0.2654178838
317	0.265354438
318	0.2653043923
319	0.2652576895
320	0.265210212
321	0.2651019241
322	0.265064499
323	0.2649869423
324	0.2649469458
325	0.2648276761
326	0.2647807105
327	0.2647326347
328	0.2646028438
329	0.2645419693
330	0.2644995715
331	0.2644229223
332	0.2643775108
333	0.2643335244
334	0.264216872
335	0.2641689125
336	0.2641078625
337	0.2640491311
338	0.2639961456
339	0.2639506824
340	0.263886171
341	0.2637905058
342	0.2637418064
343	0.2636792731
344	0.2636435884
345	0.2636040455
346	0.2635453451
347	0.2634363378
348	0.263389627
349	0.2632946228
350	0.2632686
351	0.2632198086
352	0.2631792048
353	0.263144905
354	0.2631158927
355	0.2630184863
356	0.2629108498
357	0.2628247825
358	0.2627652933
359	0.262694654
360	0.2626439768
361	0.2625979523
362	0.2625422724
363	0.2624459004
364	0.2623893576
365	0.2623546192
366	0.2622511002
367	0.2622017116
368	0.2621510982
369	0.2621236776
370	0.2620845417
371	0.2620134397
372	0.2619686288
373	0.2619374029
374	0.2618872833
375	0.2618583164
376	0.2618041173
377	0.2617672813
378	0.2616713069
379	0.2616334701
380	0.2615608955
381	0.2615240162
382	0.2614540957
383	0.2614164968
384	0.2613619842
385	0.2613322998
386	0.2612643714
387	0.2612243544
388	0.2611685628
389	0.2611251071
